               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07859,            0.048158,            0.016029,             0.66966,             0.36474,             0.35893,             0.13742,            0.059663,            0.061371,           0.0081201,            0.070086,           0.0033238,           0.0033238
                   1,            0.062124,            0.039563,           0.0077137,             0.66285,             0.66243,             0.68176,             0.29305,            0.051596,            0.058713,           0.0055588,             0.04002,           0.0065912,           0.0065912
                   2,            0.056347,            0.037437,           0.0056004,             0.79158,             0.67089,             0.75321,             0.35425,               0.045,            0.055001,           0.0041861,           0.0098884,           0.0097926,           0.0097926
                   3,            0.050191,            0.035339,           0.0041995,             0.89085,             0.73446,             0.84499,             0.45317,             0.03834,            0.051278,           0.0032056,            0.009703,            0.009703,            0.009703
                   4,            0.045713,            0.034479,           0.0034942,             0.86467,             0.77927,             0.86176,             0.48046,            0.036933,            0.050319,           0.0028093,            0.009703,            0.009703,            0.009703
                   5,            0.043389,            0.033468,           0.0030262,             0.89519,             0.79659,             0.89248,             0.49684,            0.035087,             0.04828,           0.0025844,            0.009604,            0.009604,            0.009604
                   6,            0.041427,            0.032261,           0.0027528,             0.90217,             0.79803,             0.89481,             0.53189,            0.034079,            0.047225,           0.0022957,            0.009505,            0.009505,            0.009505
                   7,            0.039957,            0.031718,           0.0025937,             0.92285,             0.80824,             0.90319,             0.54466,            0.032696,            0.046361,           0.0021238,            0.009406,            0.009406,            0.009406
                   8,            0.038898,            0.031396,           0.0022989,             0.92832,             0.81319,             0.90538,             0.56268,            0.031803,            0.045558,           0.0019946,            0.009307,            0.009307,            0.009307
                   9,             0.03742,            0.030526,           0.0022308,             0.93327,             0.81811,             0.91352,              0.5671,             0.03086,            0.045141,            0.001943,            0.009208,            0.009208,            0.009208
                  10,            0.036602,            0.030257,           0.0021084,             0.91635,             0.84043,             0.91943,             0.57861,            0.031399,            0.044882,           0.0018644,            0.009109,            0.009109,            0.009109
                  11,            0.036002,            0.029599,           0.0020309,             0.93003,             0.85096,             0.92582,             0.60192,             0.02945,            0.043325,           0.0018512,             0.00901,             0.00901,             0.00901
                  12,            0.035154,            0.028836,           0.0019101,              0.9392,             0.84514,             0.93287,             0.60055,            0.029505,             0.04279,           0.0017858,            0.008911,            0.008911,            0.008911
                  13,            0.034864,            0.028894,            0.001795,             0.93328,              0.8485,             0.92828,             0.60565,            0.028739,            0.042307,           0.0016793,            0.008812,            0.008812,            0.008812
                  14,            0.034469,            0.028649,           0.0017335,              0.9592,             0.84742,             0.93604,             0.62184,            0.028115,            0.041597,           0.0016178,            0.008713,            0.008713,            0.008713
                  15,            0.033741,            0.028045,           0.0017258,             0.92607,             0.86603,             0.94093,             0.62257,             0.02791,              0.0413,           0.0016393,            0.008614,            0.008614,            0.008614
                  16,            0.033679,            0.028312,           0.0016951,             0.93507,             0.86367,             0.93331,             0.62728,            0.027893,            0.041406,           0.0015376,            0.008515,            0.008515,            0.008515
                  17,             0.03311,            0.027773,           0.0016538,             0.94058,             0.86809,             0.93719,             0.64147,            0.027291,            0.040421,           0.0015957,            0.008416,            0.008416,            0.008416
                  18,            0.032476,            0.027461,           0.0015837,             0.94584,             0.86273,             0.94061,             0.63808,            0.027045,            0.040706,           0.0014558,            0.008317,            0.008317,            0.008317
                  19,            0.032479,            0.027197,           0.0016064,              0.9382,              0.8744,             0.94318,             0.64887,            0.027061,            0.040536,           0.0015119,            0.008218,            0.008218,            0.008218
                  20,            0.031967,            0.027127,           0.0015095,             0.95068,             0.86697,             0.94335,             0.65018,            0.026477,            0.040015,           0.0016672,            0.008119,            0.008119,            0.008119
                  21,            0.031828,            0.026706,           0.0015174,              0.9489,             0.87677,             0.94492,             0.65672,            0.026275,            0.039413,           0.0014697,             0.00802,             0.00802,             0.00802
                  22,            0.031344,            0.026443,           0.0014377,             0.93643,              0.8713,             0.93942,             0.65268,            0.026583,            0.040025,           0.0014682,            0.007921,            0.007921,            0.007921
                  23,            0.031092,            0.026142,           0.0014568,             0.95051,             0.88455,             0.94754,             0.66117,            0.025916,            0.038578,           0.0014019,            0.007822,            0.007822,            0.007822
                  24,            0.031433,            0.026171,           0.0014435,             0.93862,             0.88854,             0.94686,             0.67035,            0.025662,            0.038551,           0.0014434,            0.007723,            0.007723,            0.007723
                  25,            0.030611,            0.025749,           0.0013512,              0.9363,              0.8821,             0.94653,             0.66872,            0.025385,            0.038026,           0.0013552,            0.007624,            0.007624,            0.007624
                  26,            0.030399,            0.025689,            0.001402,             0.95085,             0.88169,             0.94516,             0.65881,            0.025421,            0.038346,           0.0013475,            0.007525,            0.007525,            0.007525
                  27,            0.030283,            0.025612,           0.0014106,             0.94648,             0.89361,             0.95127,             0.67124,            0.025182,            0.038146,            0.001395,            0.007426,            0.007426,            0.007426
                  28,            0.030105,            0.025454,           0.0014171,             0.95992,               0.891,             0.95418,             0.67979,            0.025246,            0.037726,            0.001232,            0.007327,            0.007327,            0.007327
                  29,            0.029873,            0.025416,           0.0013358,              0.9515,              0.8963,             0.95525,             0.67724,            0.024878,            0.037579,           0.0013197,            0.007228,            0.007228,            0.007228
                  30,            0.029532,            0.024867,           0.0013212,             0.93277,             0.89753,             0.95443,             0.67732,            0.024798,            0.037361,            0.001233,            0.007129,            0.007129,            0.007129
                  31,            0.029552,            0.025172,           0.0013667,             0.94986,              0.8936,             0.95218,             0.68246,            0.024687,            0.037816,           0.0013081,             0.00703,             0.00703,             0.00703
                  32,            0.029232,            0.024885,           0.0013022,             0.93458,             0.90647,             0.95416,             0.68461,            0.024505,            0.036889,           0.0012455,            0.006931,            0.006931,            0.006931
                  33,             0.02907,            0.024927,           0.0012657,             0.94316,             0.89718,              0.9564,             0.68176,            0.024174,            0.036307,           0.0011689,            0.006832,            0.006832,            0.006832
                  34,            0.028892,            0.024715,           0.0012422,             0.95687,             0.89437,             0.95336,             0.69127,            0.024197,            0.036645,           0.0012695,            0.006733,            0.006733,            0.006733
                  35,            0.028675,            0.024532,            0.001259,             0.95129,             0.89363,             0.96043,             0.69928,            0.023975,            0.036057,           0.0011705,            0.006634,            0.006634,            0.006634
                  36,            0.028631,            0.024603,           0.0011846,             0.95637,             0.89099,             0.95383,             0.69321,            0.023875,            0.035889,           0.0012234,            0.006535,            0.006535,            0.006535
                  37,            0.028497,            0.024276,           0.0011908,             0.95679,             0.89458,             0.95558,             0.69745,            0.023847,            0.035747,            0.001141,            0.006436,            0.006436,            0.006436
                  38,            0.028437,             0.02424,           0.0012223,             0.96195,             0.88058,             0.95549,             0.69495,            0.023826,            0.035607,           0.0011444,            0.006337,            0.006337,            0.006337
                  39,            0.028083,            0.024164,           0.0012043,             0.96035,             0.89775,              0.9593,             0.70224,            0.023702,            0.035601,           0.0012478,            0.006238,            0.006238,            0.006238
                  40,            0.027988,            0.023899,           0.0011846,              0.9547,             0.89598,              0.9584,             0.69626,            0.023552,            0.035632,           0.0011171,            0.006139,            0.006139,            0.006139
                  41,             0.02799,            0.023664,           0.0011992,             0.95213,             0.90447,             0.96058,             0.70526,            0.023586,            0.035425,           0.0011778,             0.00604,             0.00604,             0.00604
                  42,            0.027691,              0.0238,           0.0011985,             0.95518,             0.89721,             0.96015,             0.70617,            0.023415,            0.035516,           0.0012006,            0.005941,            0.005941,            0.005941
                  43,             0.02755,            0.023681,           0.0011893,             0.95947,             0.89508,             0.95971,             0.70715,            0.023264,            0.034962,           0.0011437,            0.005842,            0.005842,            0.005842
                  44,             0.02749,             0.02386,           0.0011838,             0.96581,             0.89077,             0.95896,              0.7102,             0.02316,             0.03501,           0.0011654,            0.005743,            0.005743,            0.005743
                  45,             0.02755,            0.023647,           0.0011753,             0.94833,             0.90754,             0.96184,             0.71272,            0.023125,            0.034983,           0.0011133,            0.005644,            0.005644,            0.005644
                  46,            0.027278,            0.023445,           0.0010984,             0.95486,             0.90113,             0.95904,             0.71867,            0.023044,            0.034808,           0.0011368,            0.005545,            0.005545,            0.005545
                  47,            0.027145,            0.023029,           0.0011074,             0.95332,             0.89677,             0.95921,             0.71288,            0.022874,            0.034528,           0.0011493,            0.005446,            0.005446,            0.005446
                  48,            0.027047,            0.023117,           0.0011611,             0.95157,             0.90978,             0.96243,             0.71809,            0.022885,             0.03461,           0.0011129,            0.005347,            0.005347,            0.005347
                  49,            0.026959,            0.023459,            0.001174,             0.95247,             0.90766,             0.96138,               0.718,            0.022743,            0.034111,           0.0010647,            0.005248,            0.005248,            0.005248
                  50,            0.026806,            0.022989,           0.0011042,             0.95621,              0.9001,              0.9585,             0.71769,            0.022674,            0.034382,           0.0011132,            0.005149,            0.005149,            0.005149
                  51,             0.02652,            0.022782,           0.0010351,             0.94938,              0.9119,             0.96258,             0.72126,            0.022605,            0.034301,           0.0010975,             0.00505,             0.00505,             0.00505
                  52,            0.026668,            0.022704,           0.0010938,             0.96337,             0.89644,              0.9609,             0.71824,            0.022503,            0.033916,           0.0010839,            0.004951,            0.004951,            0.004951
                  53,            0.026456,            0.022675,           0.0010652,             0.96249,             0.90167,             0.96476,             0.72267,            0.022429,            0.033882,           0.0010206,            0.004852,            0.004852,            0.004852
                  54,            0.026467,            0.022599,           0.0010893,             0.96449,               0.903,             0.96202,             0.72211,            0.022472,            0.033934,            0.001036,            0.004753,            0.004753,            0.004753
                  55,            0.026437,             0.02273,            0.001031,             0.96072,             0.90206,             0.96229,             0.72467,             0.02235,            0.034039,          0.00099987,            0.004654,            0.004654,            0.004654
                  56,            0.025983,            0.022513,           0.0010572,             0.96149,             0.90586,             0.96509,             0.72573,            0.022271,            0.033772,           0.0010093,            0.004555,            0.004555,            0.004555
                  57,            0.025991,            0.022265,           0.0010473,             0.96718,             0.89819,             0.96449,             0.72928,            0.022138,            0.033561,          0.00098179,            0.004456,            0.004456,            0.004456
