               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025766,            0.021824,          0.00099683,             0.95707,             0.90577,             0.96516,             0.72927,            0.023213,            0.033983,          0.00092635,            0.070086,           0.0033238,           0.0033238
                   1,            0.028142,            0.022676,          0.00099792,             0.95393,             0.90321,             0.96116,             0.70931,             0.02507,            0.035417,           0.0010094,             0.04002,           0.0065912,           0.0065912
                   2,            0.030536,            0.024124,           0.0011365,             0.95188,             0.90162,             0.95667,             0.66947,             0.02655,            0.037189,           0.0012572,           0.0098884,           0.0097926,           0.0097926
                   3,            0.031145,            0.024943,           0.0013163,             0.94887,             0.88905,             0.95394,             0.66734,            0.026187,            0.037723,           0.0013314,            0.009703,            0.009703,            0.009703
                   4,            0.030276,            0.025034,           0.0013214,             0.94774,             0.89375,             0.94823,             0.66652,            0.026121,            0.037507,           0.0013167,            0.009703,            0.009703,            0.009703
                   5,            0.030065,            0.024897,           0.0013579,                0.96,             0.89691,              0.9559,             0.68398,            0.024905,            0.036729,           0.0013275,            0.009604,            0.009604,            0.009604
                   6,            0.029806,            0.024447,           0.0012813,              0.9558,             0.89102,              0.9511,             0.67454,            0.025558,            0.037023,           0.0012921,            0.009505,            0.009505,            0.009505
                   7,            0.029565,            0.024527,            0.001332,             0.94801,             0.89941,             0.95449,             0.67896,            0.025197,            0.037016,           0.0012651,            0.009406,            0.009406,            0.009406
                   8,            0.029129,            0.024669,           0.0012665,             0.94508,             0.90044,             0.95476,             0.68512,            0.025237,            0.037156,           0.0011987,            0.009307,            0.009307,            0.009307
                   9,            0.029045,            0.024324,           0.0012929,             0.95233,             0.89885,             0.95934,             0.69144,            0.024592,            0.036497,           0.0012715,            0.009208,            0.009208,            0.009208
                  10,            0.029162,            0.024509,           0.0012608,             0.95287,             0.89582,              0.9586,             0.68494,            0.025222,            0.036504,           0.0012292,            0.009109,            0.009109,            0.009109
                  11,            0.028714,             0.02403,             0.00126,             0.94592,             0.89515,             0.95315,              0.6916,            0.024681,            0.036548,           0.0012838,             0.00901,             0.00901,             0.00901
                  12,            0.028467,            0.023593,           0.0011742,             0.95069,             0.89498,             0.95713,             0.69206,            0.024431,            0.036214,           0.0012246,            0.008911,            0.008911,            0.008911
                  13,            0.028364,            0.023847,           0.0012098,             0.93723,             0.91118,              0.9571,             0.69532,            0.024115,            0.036245,           0.0012571,            0.008812,            0.008812,            0.008812
                  14,            0.028168,            0.023816,           0.0011848,             0.95612,             0.90419,             0.95678,             0.70071,            0.023951,            0.036052,           0.0012159,            0.008713,            0.008713,            0.008713
                  15,            0.028122,            0.023484,            0.001165,             0.95641,             0.89836,             0.95881,             0.69906,            0.023774,            0.035523,           0.0011702,            0.008614,            0.008614,            0.008614
                  16,            0.028148,            0.023777,           0.0012016,             0.95689,             0.90408,             0.96114,              0.6987,            0.024029,            0.035306,           0.0011627,            0.008515,            0.008515,            0.008515
                  17,            0.027941,            0.023482,           0.0011705,             0.95243,             0.90238,             0.95701,             0.70164,            0.023684,            0.035148,           0.0011698,            0.008416,            0.008416,            0.008416
                  18,            0.027663,            0.023397,           0.0011619,             0.95449,             0.89482,             0.95735,             0.69836,             0.02354,             0.03565,           0.0012162,            0.008317,            0.008317,            0.008317
                  19,            0.027539,            0.023198,           0.0012063,             0.95529,             0.90378,             0.96095,             0.71099,            0.023504,            0.035451,            0.001125,            0.008218,            0.008218,            0.008218
                  20,            0.027467,            0.023239,           0.0011297,              0.9549,             0.90171,             0.96006,             0.70371,            0.023501,            0.035165,           0.0011209,            0.008119,            0.008119,            0.008119
                  21,             0.02753,            0.023084,           0.0011434,             0.96283,             0.90078,             0.96117,             0.71055,            0.023363,            0.034906,            0.001086,             0.00802,             0.00802,             0.00802
                  22,             0.02718,            0.022872,           0.0011117,             0.94644,             0.90283,             0.95803,              0.7091,            0.023336,            0.035078,           0.0010855,            0.007921,            0.007921,            0.007921
                  23,            0.027042,            0.022632,           0.0010937,             0.95169,             0.90889,             0.95953,             0.71591,            0.023018,              0.0345,           0.0010779,            0.007822,            0.007822,            0.007822
                  24,            0.027229,            0.022688,           0.0011184,             0.94903,             0.89703,             0.95825,             0.72086,            0.022799,            0.034866,           0.0011851,            0.007723,            0.007723,            0.007723
                  25,            0.026605,            0.022409,           0.0010586,             0.94577,             0.90868,             0.96061,             0.71545,            0.022773,            0.034268,           0.0010825,            0.007624,            0.007624,            0.007624
                  26,            0.026794,            0.022459,           0.0010932,             0.96249,             0.90249,             0.96072,             0.71098,            0.022834,            0.034458,           0.0011078,            0.007525,            0.007525,            0.007525
                  27,            0.026575,            0.022374,            0.001085,             0.96794,             0.90333,             0.96078,             0.71733,            0.022709,            0.034215,           0.0010446,            0.007426,            0.007426,            0.007426
                  28,            0.026519,            0.022303,           0.0011272,             0.95388,             0.90668,             0.96194,             0.72399,             0.02286,             0.03462,           0.0010635,            0.007327,            0.007327,            0.007327
                  29,            0.026432,            0.022383,           0.0010618,             0.95439,             0.91109,             0.96218,             0.71977,            0.022667,            0.034551,           0.0010328,            0.007228,            0.007228,            0.007228
                  30,            0.026493,            0.022019,           0.0010388,             0.94531,             0.91485,             0.96418,             0.72876,             0.02248,            0.033909,           0.0010656,            0.007129,            0.007129,            0.007129
                  31,            0.026111,            0.022223,            0.001085,             0.96633,             0.90126,             0.96334,             0.73014,             0.02243,            0.034321,           0.0010356,             0.00703,             0.00703,             0.00703
                  32,            0.026247,            0.022047,           0.0010734,             0.96167,             0.90816,             0.96395,             0.72952,             0.02235,            0.033867,           0.0010831,            0.006931,            0.006931,            0.006931
                  33,            0.026121,            0.022196,           0.0010485,             0.95817,             0.90983,             0.96578,             0.72604,            0.022259,            0.033456,          0.00097141,            0.006832,            0.006832,            0.006832
